night 20201209 expid 8297 is arc; skipping
night 20201211 expid 8346 is arc; skipping
night 20201211 expid 8347 is arc; skipping
night 20201211 expid 8348 is arc; skipping
night 20201212 expid 8402 is arc; skipping
night 20201212 expid 8403 is arc; skipping
night 20201212 expid 8404 is arc; skipping
night 20201213 expid 8448 is arc; skipping
night 20201213 expid 8449 is arc; skipping
night 20201213 expid 8450 is arc; skipping
night 20201216 expid 8499 is arc; skipping
night 20201216 expid 8500 is arc; skipping
night 20201216 expid 8501 is arc; skipping
night 20201217 expid 8551 is arc; skipping
night 20201217 expid 8552 is arc; skipping
night 20201217 expid 8553 is arc; skipping
night 20201218 expid 8601 is arc; skipping
night 20201218 expid 8602 is arc; skipping
night 20201218 expid 8603 is arc; skipping
night 20201219 expid 8653 is arc; skipping
night 20201219 expid 8654 is arc; skipping
night 20201219 expid 8655 is arc; skipping
night 20201221 expid 8705 is arc; skipping
night 20201221 expid 8706 is arc; skipping
night 20201221 expid 8707 is arc; skipping
night 20201222 expid 8752 is arc; skipping
night 20201222 expid 8753 is arc; skipping
night 20201222 expid 8754 is arc; skipping
night 20201223 expid 8806 is arc; skipping
night 20201223 expid 8807 is arc; skipping
night 20201223 expid 8808 is arc; skipping
night 20210103 expid 8860 is arc; skipping
night 20210103 expid 8861 is arc; skipping
night 20210103 expid 8862 is arc; skipping
night 20210104 expid 8924 is arc; skipping
night 20210104 expid 8925 is arc; skipping
night 20210104 expid 8926 is arc; skipping
night 20210106 expid 8990 is arc; skipping
night 20210106 expid 8991 is arc; skipping
night 20210106 expid 8992 is arc; skipping
night 20210108 expid 9038 is arc; skipping
night 20210108 expid 9039 is arc; skipping
night 20210108 expid 9040 is arc; skipping
night 20210110 expid 9089 is arc; skipping
night 20210110 expid 9090 is arc; skipping
night 20210110 expid 9091 is arc; skipping
night 20210111 expid 9141 is arc; skipping
night 20210111 expid 9142 is arc; skipping
night 20210111 expid 9143 is arc; skipping
night 20210112 expid 9190 is arc; skipping
night 20210112 expid 9191 is arc; skipping
night 20210112 expid 9192 is arc; skipping
night 20210116 expid 9241 is arc; skipping
night 20210116 expid 9242 is arc; skipping
night 20210116 expid 9243 is arc; skipping
night 20210117 expid 9290 is arc; skipping
night 20210117 expid 9291 is arc; skipping
night 20210117 expid 9292 is arc; skipping
night 20210118 expid 9340 is arc; skipping
night 20210118 expid 9341 is arc; skipping
night 20210118 expid 9342 is arc; skipping
night 20210119 expid 9391 is arc; skipping
night 20210119 expid 9392 is arc; skipping
night 20210119 expid 9393 is arc; skipping
night 20210122 expid 9440 is arc; skipping
night 20210122 expid 9441 is arc; skipping
night 20210122 expid 9442 is arc; skipping
night 20210123 expid 9503 is arc; skipping
night 20210123 expid 9504 is arc; skipping
night 20210123 expid 9505 is arc; skipping
night 20210131 expid 9568 is arc; skipping
night 20210131 expid 9569 is arc; skipping
night 20210131 expid 9570 is arc; skipping
night 20210201 expid 9633 is arc; skipping
night 20210201 expid 9634 is arc; skipping
night 20210201 expid 9635 is arc; skipping
night 20210209 expid 9698 is arc; skipping
night 20210209 expid 9699 is arc; skipping
night 20210209 expid 9700 is arc; skipping
night 20210211 expid 9746 is arc; skipping
night 20210211 expid 9747 is arc; skipping
night 20210211 expid 9748 is arc; skipping
night 20210212 expid 9797 is arc; skipping
night 20210212 expid 9798 is arc; skipping
night 20210212 expid 9799 is arc; skipping
night 20210215 expid 9846 is arc; skipping
night 20210215 expid 9847 is arc; skipping
night 20210215 expid 9848 is arc; skipping
night 20210218 expid 9896 is arc; skipping
night 20210218 expid 9897 is arc; skipping
night 20210218 expid 9898 is arc; skipping
night 20210219 expid 9945 is arc; skipping
night 20210219 expid 9946 is arc; skipping
night 20210219 expid 9947 is arc; skipping
night 20210221 expid 9998 is arc; skipping
night 20210221 expid 9999 is arc; skipping
night 20210221 expid 10000 is arc; skipping
night 20210303 expid 10060 is arc; skipping
night 20210303 expid 10061 is arc; skipping
night 20210303 expid 10062 is arc; skipping
night 20210304 expid 10121 is arc; skipping
night 20210304 expid 10122 is arc; skipping
night 20210304 expid 10123 is arc; skipping
night 20210305 expid 10170 is arc; skipping
night 20210305 expid 10171 is arc; skipping
night 20210305 expid 10172 is arc; skipping
night 20210306 expid 10220 is arc; skipping
night 20210306 expid 10221 is arc; skipping
night 20210306 expid 10222 is arc; skipping
night 20210307 expid 10263 is arc; skipping
night 20210307 expid 10264 is arc; skipping
night 20210307 expid 10265 is arc; skipping
night 20210308 expid 10307 is arc; skipping
night 20210308 expid 10308 is arc; skipping
night 20210308 expid 10309 is arc; skipping
night 20210309 expid 10355 is arc; skipping
night 20210309 expid 10356 is arc; skipping
night 20210309 expid 10357 is arc; skipping
night 20210311 expid 10402 is arc; skipping
night 20210311 expid 10403 is arc; skipping
night 20210311 expid 10404 is arc; skipping
night 20210314 expid 10448 is arc; skipping
night 20210314 expid 10449 is arc; skipping
night 20210314 expid 10450 is arc; skipping
night 20210316 expid 10498 is arc; skipping
night 20210316 expid 10499 is arc; skipping
night 20210316 expid 10500 is arc; skipping
night 20210317 expid 10544 is arc; skipping
night 20210317 expid 10545 is arc; skipping
night 20210317 expid 10546 is arc; skipping
night 20210318 expid 10590 is arc; skipping
night 20210318 expid 10591 is arc; skipping
night 20210318 expid 10592 is arc; skipping
night 20210319 expid 10637 is arc; skipping
night 20210319 expid 10638 is arc; skipping
night 20210319 expid 10639 is arc; skipping
night 20210321 expid 10684 is arc; skipping
night 20210321 expid 10685 is arc; skipping
night 20210321 expid 10686 is arc; skipping
night 20210323 expid 10733 is arc; skipping
night 20210323 expid 10734 is arc; skipping
night 20210323 expid 10735 is arc; skipping
night 20210331 expid 10784 is arc; skipping
night 20210331 expid 10785 is arc; skipping
night 20210331 expid 10786 is arc; skipping
night 20210401 expid 10844 is arc; skipping
night 20210401 expid 10845 is arc; skipping
night 20210401 expid 10846 is arc; skipping
night 20210402 expid 10904 is arc; skipping
night 20210402 expid 10905 is arc; skipping
night 20210402 expid 10906 is arc; skipping
night 20210404 expid 10959 is arc; skipping
night 20210404 expid 10960 is arc; skipping
night 20210404 expid 10961 is arc; skipping
night 20210405 expid 11004 is arc; skipping
night 20210405 expid 11005 is arc; skipping
night 20210405 expid 11006 is arc; skipping
night 20210406 expid 11049 is arc; skipping
night 20210406 expid 11050 is arc; skipping
night 20210406 expid 11051 is arc; skipping
night 20210409 expid 11095 is arc; skipping
night 20210409 expid 11096 is arc; skipping
night 20210409 expid 11097 is arc; skipping
night 20210410 expid 11141 is arc; skipping
night 20210410 expid 11142 is arc; skipping
night 20210410 expid 11143 is arc; skipping
night 20210411 expid 11184 is arc; skipping
night 20210411 expid 11185 is arc; skipping
night 20210411 expid 11186 is arc; skipping
